comparison,protein_id,cka
pairwise:static_perturb__perturb,T1030-D1,0.9327
pairwise:static_perturb__perturb,T1030-D2,0.8152
pairwise:static_perturb__perturb,T1031-D1,0.7206
pairwise:static_perturb__perturb,T1032-D1,0.7799
pairwise:static_perturb__perturb,T1033-D1,0.8208
pairwise:static_perturb__perturb,T1034-D1,0.8329
pairwise:static_perturb__perturb,T1036s1-D1,0.5205
pairwise:static_perturb__perturb,T1038-D1,0.6546
pairwise:static_perturb__perturb,T1038-D2,0.8052
pairwise:static_perturb__perturb,T1039-D1,0.7353
pairwise:static_perturb__perturb,T1046s1-D1,0.7999
pairwise:static_perturb__perturb,T1046s2-D1,0.8082
pairwise:static_perturb__perturb,T1049-D1,0.4210
pairwise:static_perturb__perturb,T1050-D1,0.9146
pairwise:static_perturb__perturb,T1050-D2,0.9286
pairwise:static_perturb__perturb,T1050-D3,0.8514
pairwise:static_perturb__perturb,T1054-D1,0.8224
pairwise:static_perturb__perturb,T1056-D1,0.8336
pairwise:static_perturb__perturb,T1057-D1,0.9013
pairwise:static_perturb__perturb,T1064-D1,0.6816
pairwise:static_perturb__perturb,T1067-D1,0.7232
pairwise:static_perturb__perturb,T1070-D2,0.7998
pairwise:static_perturb__perturb,T1073-D1,0.8569
pairwise:static_perturb__perturb,T1079-D1,0.8315
pairwise:static_perturb__perturb,T1082-D1,0.8910
pairwise:static_perturb__perturb,T1089-D1,0.8767
pairwise:static_perturb__perturb,T1090-D1,0.6923
pairwise:static_perturb__perturb,T1099-D1,0.5491
pairwise:static_perturb__gate,T1024-D1,0.6851
pairwise:static_perturb__gate,T1024-D2,0.7332
pairwise:static_perturb__gate,T1025-D1,0.7977
pairwise:static_perturb__gate,T1026-D1,0.5949
pairwise:static_perturb__gate,T1030-D1,0.7908
pairwise:static_perturb__gate,T1030-D2,0.7548
pairwise:static_perturb__gate,T1031-D1,0.5350
pairwise:static_perturb__gate,T1032-D1,0.6522
pairwise:static_perturb__gate,T1033-D1,0.7634
pairwise:static_perturb__gate,T1034-D1,0.6389
pairwise:static_perturb__gate,T1036s1-D1,0.3906
pairwise:static_perturb__gate,T1038-D1,0.4390
pairwise:static_perturb__gate,T1038-D2,0.5804
pairwise:static_perturb__gate,T1039-D1,0.6276
pairwise:static_perturb__gate,T1046s1-D1,0.7231
pairwise:static_perturb__gate,T1046s2-D1,0.7284
pairwise:static_perturb__gate,T1049-D1,0.3832
pairwise:static_perturb__gate,T1050-D1,0.8046
pairwise:static_perturb__gate,T1050-D2,0.8228
pairwise:static_perturb__gate,T1050-D3,0.7166
pairwise:static_perturb__gate,T1054-D1,0.7509
pairwise:static_perturb__gate,T1056-D1,0.7181
pairwise:static_perturb__gate,T1057-D1,0.8133
pairwise:static_perturb__gate,T1064-D1,0.4805
pairwise:static_perturb__gate,T1067-D1,0.6223
pairwise:static_perturb__gate,T1070-D2,0.6588
pairwise:static_perturb__gate,T1073-D1,0.7426
pairwise:static_perturb__gate,T1079-D1,0.7377
pairwise:static_perturb__gate,T1082-D1,0.6864
pairwise:static_perturb__gate,T1089-D1,0.7964
pairwise:static_perturb__gate,T1090-D1,0.5793
pairwise:static_perturb__gate,T1099-D1,0.5817
pairwise:static_perturb__gate_perturb,T1024-D1,0.6908
pairwise:static_perturb__gate_perturb,T1024-D2,0.7354
pairwise:static_perturb__gate_perturb,T1025-D1,0.8047
pairwise:static_perturb__gate_perturb,T1026-D1,0.6533
pairwise:static_perturb__gate_perturb,T1030-D1,0.8064
pairwise:static_perturb__gate_perturb,T1030-D2,0.7961
pairwise:static_perturb__gate_perturb,T1031-D1,0.6899
pairwise:static_perturb__gate_perturb,T1032-D1,0.6882
pairwise:static_perturb__gate_perturb,T1033-D1,0.7973
pairwise:static_perturb__gate_perturb,T1034-D1,0.6762
pairwise:static_perturb__gate_perturb,T1036s1-D1,0.3746
pairwise:static_perturb__gate_perturb,T1038-D1,0.4169
pairwise:static_perturb__gate_perturb,T1038-D2,0.6669
pairwise:static_perturb__gate_perturb,T1039-D1,0.5915
pairwise:static_perturb__gate_perturb,T1046s1-D1,0.7742
pairwise:static_perturb__gate_perturb,T1046s2-D1,0.7110
pairwise:static_perturb__gate_perturb,T1049-D1,0.4074
pairwise:static_perturb__gate_perturb,T1050-D1,0.7690
pairwise:static_perturb__gate_perturb,T1050-D2,0.7942
pairwise:static_perturb__gate_perturb,T1050-D3,0.7707
pairwise:static_perturb__gate_perturb,T1054-D1,0.7651
pairwise:static_perturb__gate_perturb,T1056-D1,0.7255
pairwise:static_perturb__gate_perturb,T1057-D1,0.8196
pairwise:static_perturb__gate_perturb,T1064-D1,0.4998
pairwise:static_perturb__gate_perturb,T1067-D1,0.6577
pairwise:static_perturb__gate_perturb,T1070-D2,0.7454
pairwise:static_perturb__gate_perturb,T1073-D1,0.7970
pairwise:static_perturb__gate_perturb,T1079-D1,0.6996
pairwise:static_perturb__gate_perturb,T1082-D1,0.7657
pairwise:static_perturb__gate_perturb,T1089-D1,0.7591
pairwise:static_perturb__gate_perturb,T1090-D1,0.5346
pairwise:static_perturb__gate_perturb,T1099-D1,0.6349
pairwise:static_perturb__attnobias,T1024-D1,0.8118
pairwise:static_perturb__attnobias,T1024-D2,0.8287
pairwise:static_perturb__attnobias,T1025-D1,0.8839
pairwise:static_perturb__attnobias,T1026-D1,0.7163
pairwise:static_perturb__attnobias,T1030-D1,0.9331
pairwise:static_perturb__attnobias,T1030-D2,0.8346
pairwise:static_perturb__attnobias,T1031-D1,0.6975
pairwise:static_perturb__attnobias,T1032-D1,0.7248
pairwise:static_perturb__attnobias,T1033-D1,0.8356
pairwise:static_perturb__attnobias,T1034-D1,0.7767
pairwise:static_perturb__attnobias,T1036s1-D1,0.6100
pairwise:static_perturb__attnobias,T1038-D1,0.6133
pairwise:static_perturb__attnobias,T1038-D2,0.8078
pairwise:static_perturb__attnobias,T1039-D1,0.7186
pairwise:static_perturb__attnobias,T1046s1-D1,0.8323
pairwise:static_perturb__attnobias,T1046s2-D1,0.7972
pairwise:static_perturb__attnobias,T1049-D1,0.4643
pairwise:static_perturb__attnobias,T1050-D1,0.8971
pairwise:static_perturb__attnobias,T1050-D2,0.9171
pairwise:static_perturb__attnobias,T1050-D3,0.8516
pairwise:static_perturb__attnobias,T1054-D1,0.8474
pairwise:static_perturb__attnobias,T1056-D1,0.8409
pairwise:static_perturb__attnobias,T1057-D1,0.8737
pairwise:static_perturb__attnobias,T1064-D1,0.7270
pairwise:static_perturb__attnobias,T1067-D1,0.7319
pairwise:static_perturb__attnobias,T1070-D2,0.8180
pairwise:static_perturb__attnobias,T1073-D1,0.8564
pairwise:static_perturb__attnobias,T1079-D1,0.7426
pairwise:static_perturb__attnobias,T1082-D1,0.7927
pairwise:static_perturb__attnobias,T1089-D1,0.8737
pairwise:static_perturb__attnobias,T1090-D1,0.6607
pairwise:static_perturb__attnobias,T1099-D1,0.6501
pairwise:perturb__gate,T1024-D1,0.7568
pairwise:perturb__gate,T1024-D2,0.7513
pairwise:perturb__gate,T1025-D1,0.8048
pairwise:perturb__gate,T1026-D1,0.5740
pairwise:perturb__gate,T1030-D1,0.8165
pairwise:perturb__gate,T1030-D2,0.6835
pairwise:perturb__gate,T1031-D1,0.5640
pairwise:perturb__gate,T1032-D1,0.6438
pairwise:perturb__gate,T1033-D1,0.7543
pairwise:perturb__gate,T1034-D1,0.6711
pairwise:perturb__gate,T1036s1-D1,0.3459
pairwise:perturb__gate,T1038-D1,0.4122
pairwise:perturb__gate,T1038-D2,0.6114
pairwise:perturb__gate,T1039-D1,0.6091
pairwise:perturb__gate,T1046s1-D1,0.6476
pairwise:perturb__gate,T1046s2-D1,0.7494
pairwise:perturb__gate,T1049-D1,0.2112
pairwise:perturb__gate,T1050-D1,0.8196
pairwise:perturb__gate,T1050-D2,0.8352
pairwise:perturb__gate,T1050-D3,0.7170
pairwise:perturb__gate,T1054-D1,0.7545
pairwise:perturb__gate,T1056-D1,0.6956
pairwise:perturb__gate,T1057-D1,0.8099
pairwise:perturb__gate,T1064-D1,0.5371
pairwise:perturb__gate,T1067-D1,0.6579
pairwise:perturb__gate,T1070-D2,0.6408
pairwise:perturb__gate,T1073-D1,0.7550
pairwise:perturb__gate,T1079-D1,0.7388
pairwise:perturb__gate,T1082-D1,0.6604
pairwise:perturb__gate,T1089-D1,0.8043
pairwise:perturb__gate,T1090-D1,0.5653
pairwise:perturb__gate,T1099-D1,0.4722
pairwise:perturb__gate_perturb,T1024-D1,0.7372
pairwise:perturb__gate_perturb,T1024-D2,0.7661
pairwise:perturb__gate_perturb,T1025-D1,0.8188
pairwise:perturb__gate_perturb,T1026-D1,0.6470
pairwise:perturb__gate_perturb,T1030-D1,0.8257
pairwise:perturb__gate_perturb,T1030-D2,0.7295
pairwise:perturb__gate_perturb,T1031-D1,0.6829
pairwise:perturb__gate_perturb,T1032-D1,0.6793
pairwise:perturb__gate_perturb,T1033-D1,0.7899
pairwise:perturb__gate_perturb,T1034-D1,0.6644
pairwise:perturb__gate_perturb,T1036s1-D1,0.3249
pairwise:perturb__gate_perturb,T1038-D1,0.3856
pairwise:perturb__gate_perturb,T1038-D2,0.6804
pairwise:perturb__gate_perturb,T1039-D1,0.6062
pairwise:perturb__gate_perturb,T1046s1-D1,0.6720
pairwise:perturb__gate_perturb,T1046s2-D1,0.7503
pairwise:perturb__gate_perturb,T1049-D1,0.2463
pairwise:perturb__gate_perturb,T1050-D1,0.7905
pairwise:perturb__gate_perturb,T1050-D2,0.8086
pairwise:perturb__gate_perturb,T1050-D3,0.7939
pairwise:perturb__gate_perturb,T1054-D1,0.7737
pairwise:perturb__gate_perturb,T1056-D1,0.6916
pairwise:perturb__gate_perturb,T1057-D1,0.8359
pairwise:perturb__gate_perturb,T1064-D1,0.5920
pairwise:perturb__gate_perturb,T1067-D1,0.6608
pairwise:perturb__gate_perturb,T1070-D2,0.7181
pairwise:perturb__gate_perturb,T1073-D1,0.7869
pairwise:perturb__gate_perturb,T1079-D1,0.7399
pairwise:perturb__gate_perturb,T1082-D1,0.7272
pairwise:perturb__gate_perturb,T1089-D1,0.7882
pairwise:perturb__gate_perturb,T1090-D1,0.5627
pairwise:perturb__gate_perturb,T1099-D1,0.5006
pairwise:perturb__attnobias,T1024-D1,0.8123
pairwise:perturb__attnobias,T1024-D2,0.8247
pairwise:perturb__attnobias,T1025-D1,0.9016
pairwise:perturb__attnobias,T1026-D1,0.7073
pairwise:perturb__attnobias,T1030-D1,0.9330
pairwise:perturb__attnobias,T1030-D2,0.8168
pairwise:perturb__attnobias,T1031-D1,0.6855
pairwise:perturb__attnobias,T1032-D1,0.7194
pairwise:perturb__attnobias,T1033-D1,0.8087
pairwise:perturb__attnobias,T1034-D1,0.7552
pairwise:perturb__attnobias,T1036s1-D1,0.4924
pairwise:perturb__attnobias,T1038-D1,0.6074
pairwise:perturb__attnobias,T1038-D2,0.7857
pairwise:perturb__attnobias,T1039-D1,0.7235
pairwise:perturb__attnobias,T1046s1-D1,0.7391
pairwise:perturb__attnobias,T1046s2-D1,0.7913
pairwise:perturb__attnobias,T1049-D1,0.4692
pairwise:perturb__attnobias,T1050-D1,0.9027
pairwise:perturb__attnobias,T1050-D2,0.9209
pairwise:perturb__attnobias,T1050-D3,0.8550
pairwise:perturb__attnobias,T1054-D1,0.8474
pairwise:perturb__attnobias,T1056-D1,0.7799
pairwise:perturb__attnobias,T1057-D1,0.8904
pairwise:perturb__attnobias,T1064-D1,0.8119
pairwise:perturb__attnobias,T1067-D1,0.7472
pairwise:perturb__attnobias,T1070-D2,0.7817
pairwise:perturb__attnobias,T1073-D1,0.8745
pairwise:perturb__attnobias,T1079-D1,0.7804
pairwise:perturb__attnobias,T1082-D1,0.7754
pairwise:perturb__attnobias,T1089-D1,0.8764
pairwise:perturb__attnobias,T1090-D1,0.6998
pairwise:perturb__attnobias,T1099-D1,0.6074
pairwise:gate__gate_perturb,T1024-D1,0.8408
pairwise:gate__gate_perturb,T1024-D2,0.8466
pairwise:gate__gate_perturb,T1025-D1,0.8850
pairwise:gate__gate_perturb,T1026-D1,0.7062
pairwise:gate__gate_perturb,T1030-D1,0.9367
pairwise:gate__gate_perturb,T1030-D2,0.9197
pairwise:gate__gate_perturb,T1031-D1,0.7011
pairwise:gate__gate_perturb,T1032-D1,0.8180
pairwise:gate__gate_perturb,T1033-D1,0.9191
pairwise:gate__gate_perturb,T1034-D1,0.7228
pairwise:gate__gate_perturb,T1036s1-D1,0.5062
pairwise:gate__gate_perturb,T1038-D1,0.6090
pairwise:gate__gate_perturb,T1038-D2,0.7617
pairwise:gate__gate_perturb,T1039-D1,0.8196
pairwise:gate__gate_perturb,T1046s1-D1,0.8129
pairwise:gate__gate_perturb,T1046s2-D1,0.8530
pairwise:gate__gate_perturb,T1049-D1,0.6596
pairwise:gate__gate_perturb,T1050-D1,0.8646
pairwise:gate__gate_perturb,T1050-D2,0.8889
pairwise:gate__gate_perturb,T1050-D3,0.8460
pairwise:gate__gate_perturb,T1054-D1,0.8654
pairwise:gate__gate_perturb,T1056-D1,0.8100
pairwise:gate__gate_perturb,T1057-D1,0.8897
pairwise:gate__gate_perturb,T1064-D1,0.7313
pairwise:gate__gate_perturb,T1067-D1,0.7479
pairwise:gate__gate_perturb,T1070-D2,0.7723
pairwise:gate__gate_perturb,T1073-D1,0.8874
pairwise:gate__gate_perturb,T1079-D1,0.8143
pairwise:gate__gate_perturb,T1082-D1,0.8631
pairwise:gate__gate_perturb,T1089-D1,0.8534
pairwise:gate__gate_perturb,T1090-D1,0.7543
pairwise:gate__gate_perturb,T1099-D1,0.7918
pairwise:gate__attnobias,T1024-D1,0.7014
pairwise:gate__attnobias,T1024-D2,0.7433
pairwise:gate__attnobias,T1025-D1,0.8293
pairwise:gate__attnobias,T1026-D1,0.6025
pairwise:gate__attnobias,T1030-D1,0.7993
pairwise:gate__attnobias,T1030-D2,0.7231
pairwise:gate__attnobias,T1031-D1,0.5850
pairwise:gate__attnobias,T1032-D1,0.6417
pairwise:gate__attnobias,T1033-D1,0.6947
pairwise:gate__attnobias,T1034-D1,0.6641
pairwise:gate__attnobias,T1036s1-D1,0.4339
pairwise:gate__attnobias,T1038-D1,0.4424
pairwise:gate__attnobias,T1038-D2,0.6269
pairwise:gate__attnobias,T1039-D1,0.5995
pairwise:gate__attnobias,T1046s1-D1,0.6742
pairwise:gate__attnobias,T1046s2-D1,0.7598
pairwise:gate__attnobias,T1049-D1,0.3694
pairwise:gate__attnobias,T1050-D1,0.8224
pairwise:gate__attnobias,T1050-D2,0.8422
pairwise:gate__attnobias,T1050-D3,0.7624
pairwise:gate__attnobias,T1054-D1,0.7797
pairwise:gate__attnobias,T1056-D1,0.7085
pairwise:gate__attnobias,T1057-D1,0.8044
pairwise:gate__attnobias,T1064-D1,0.5899
pairwise:gate__attnobias,T1067-D1,0.6452
pairwise:gate__attnobias,T1070-D2,0.7048
pairwise:gate__attnobias,T1073-D1,0.7589
pairwise:gate__attnobias,T1079-D1,0.6914
pairwise:gate__attnobias,T1082-D1,0.6268
pairwise:gate__attnobias,T1089-D1,0.7853
pairwise:gate__attnobias,T1090-D1,0.6147
pairwise:gate__attnobias,T1099-D1,0.6251
pairwise:gate_perturb__attnobias,T1024-D1,0.6647
pairwise:gate_perturb__attnobias,T1024-D2,0.7290
pairwise:gate_perturb__attnobias,T1025-D1,0.8281
pairwise:gate_perturb__attnobias,T1026-D1,0.6555
pairwise:gate_perturb__attnobias,T1030-D1,0.8125
pairwise:gate_perturb__attnobias,T1030-D2,0.7576
pairwise:gate_perturb__attnobias,T1031-D1,0.6238
pairwise:gate_perturb__attnobias,T1032-D1,0.6515
pairwise:gate_perturb__attnobias,T1033-D1,0.7400
pairwise:gate_perturb__attnobias,T1034-D1,0.6433
pairwise:gate_perturb__attnobias,T1036s1-D1,0.4353
pairwise:gate_perturb__attnobias,T1038-D1,0.4186
pairwise:gate_perturb__attnobias,T1038-D2,0.7077
pairwise:gate_perturb__attnobias,T1039-D1,0.6037
pairwise:gate_perturb__attnobias,T1046s1-D1,0.7283
pairwise:gate_perturb__attnobias,T1046s2-D1,0.7794
pairwise:gate_perturb__attnobias,T1049-D1,0.4047
pairwise:gate_perturb__attnobias,T1050-D1,0.7922
pairwise:gate_perturb__attnobias,T1050-D2,0.8153
pairwise:gate_perturb__attnobias,T1050-D3,0.7849
pairwise:gate_perturb__attnobias,T1054-D1,0.7843
pairwise:gate_perturb__attnobias,T1056-D1,0.7452
pairwise:gate_perturb__attnobias,T1057-D1,0.8300
pairwise:gate_perturb__attnobias,T1064-D1,0.6680
pairwise:gate_perturb__attnobias,T1067-D1,0.6268
pairwise:gate_perturb__attnobias,T1070-D2,0.7499
pairwise:gate_perturb__attnobias,T1073-D1,0.8100
pairwise:gate_perturb__attnobias,T1079-D1,0.7189
pairwise:gate_perturb__attnobias,T1082-D1,0.6875
pairwise:gate_perturb__attnobias,T1089-D1,0.7723
pairwise:gate_perturb__attnobias,T1090-D1,0.5794
pairwise:gate_perturb__attnobias,T1099-D1,0.6201
pmf_align:base,T1024-D1,0.0046
pmf_align:base,T1024-D2,0.0086
pmf_align:base,T1025-D1,0.0097
pmf_align:base,T1026-D1,0.0205
pmf_align:base,T1030-D1,0.0057
pmf_align:base,T1030-D2,0.0079
pmf_align:base,T1031-D1,0.0238
pmf_align:base,T1032-D1,0.0174
pmf_align:base,T1033-D1,0.0208
pmf_align:base,T1034-D1,0.0248
pmf_align:base,T1036s1-D1,0.0124
pmf_align:base,T1038-D1,0.1355
pmf_align:base,T1038-D2,0.0528
pmf_align:base,T1039-D1,0.0325
pmf_align:base,T1046s1-D1,0.0218
pmf_align:base,T1046s2-D1,0.0202
pmf_align:base,T1049-D1,0.0260
pmf_align:base,T1050-D1,0.0083
pmf_align:base,T1050-D2,0.0105
pmf_align:base,T1050-D3,0.0216
pmf_align:base,T1054-D1,0.0247
pmf_align:base,T1056-D1,0.0154
pmf_align:base,T1057-D1,0.0094
pmf_align:base,T1064-D1,0.0540
pmf_align:base,T1067-D1,0.0126
pmf_align:base,T1070-D2,0.0190
pmf_align:base,T1073-D1,0.0253
pmf_align:base,T1079-D1,0.0088
pmf_align:base,T1082-D1,0.0094
pmf_align:base,T1089-D1,0.0073
pmf_align:base,T1090-D1,0.0129
pmf_align:base,T1099-D1,0.0243
pmf_align:phys,T1024-D1,0.0040
pmf_align:phys,T1024-D2,0.0109
pmf_align:phys,T1025-D1,0.0074
pmf_align:phys,T1026-D1,0.0248
pmf_align:phys,T1030-D1,0.0080
pmf_align:phys,T1030-D2,0.0149
pmf_align:phys,T1031-D1,0.0270
pmf_align:phys,T1032-D1,0.0247
pmf_align:phys,T1033-D1,0.0283
pmf_align:phys,T1034-D1,0.0209
pmf_align:phys,T1036s1-D1,0.0249
pmf_align:phys,T1038-D1,0.0753
pmf_align:phys,T1038-D2,0.0463
pmf_align:phys,T1039-D1,0.0713
pmf_align:phys,T1046s1-D1,0.0226
pmf_align:phys,T1046s2-D1,0.0288
pmf_align:phys,T1049-D1,0.0548
pmf_align:phys,T1050-D1,0.0100
pmf_align:phys,T1050-D2,0.0117
pmf_align:phys,T1050-D3,0.0211
pmf_align:phys,T1054-D1,0.0229
pmf_align:phys,T1056-D1,0.0149
pmf_align:phys,T1057-D1,0.0122
pmf_align:phys,T1064-D1,0.0244
pmf_align:phys,T1067-D1,0.0168
pmf_align:phys,T1070-D2,0.0222
pmf_align:phys,T1073-D1,0.0150
pmf_align:phys,T1079-D1,0.0065
pmf_align:phys,T1082-D1,0.0076
pmf_align:phys,T1089-D1,0.0087
pmf_align:phys,T1090-D1,0.0221
pmf_align:phys,T1099-D1,0.0631
pmf_align:static,T1024-D1,0.0054
pmf_align:static,T1024-D2,0.0110
pmf_align:static,T1025-D1,0.0089
pmf_align:static,T1026-D1,0.0197
pmf_align:static,T1030-D1,0.0069
pmf_align:static,T1030-D2,0.0074
pmf_align:static,T1031-D1,0.0313
pmf_align:static,T1032-D1,0.0231
pmf_align:static,T1033-D1,0.0161
pmf_align:static,T1034-D1,0.0224
pmf_align:static,T1036s1-D1,0.0238
pmf_align:static,T1038-D1,0.0543
pmf_align:static,T1038-D2,0.0493
pmf_align:static,T1039-D1,0.0463
pmf_align:static,T1046s1-D1,0.0265
pmf_align:static,T1046s2-D1,0.0255
pmf_align:static,T1049-D1,0.0422
pmf_align:static,T1050-D1,0.0091
pmf_align:static,T1050-D2,0.0115
pmf_align:static,T1050-D3,0.0214
pmf_align:static,T1054-D1,0.0200
pmf_align:static,T1056-D1,0.0138
pmf_align:static,T1057-D1,0.0094
pmf_align:static,T1064-D1,0.0282
pmf_align:static,T1067-D1,0.0133
pmf_align:static,T1070-D2,0.0194
pmf_align:static,T1073-D1,0.0136
pmf_align:static,T1079-D1,0.0093
pmf_align:static,T1082-D1,0.0113
pmf_align:static,T1089-D1,0.0071
pmf_align:static,T1090-D1,0.0180
pmf_align:static,T1099-D1,0.0517
pmf_align:static_perturb,T1024-D1,0.0068
pmf_align:static_perturb,T1024-D2,0.0115
pmf_align:static_perturb,T1025-D1,0.0092
pmf_align:static_perturb,T1026-D1,0.0245
pmf_align:static_perturb,T1030-D1,0.0096
pmf_align:static_perturb,T1030-D2,0.0122
pmf_align:static_perturb,T1031-D1,0.0324
pmf_align:static_perturb,T1032-D1,0.0170
pmf_align:static_perturb,T1033-D1,0.0269
pmf_align:static_perturb,T1034-D1,0.0238
pmf_align:static_perturb,T1036s1-D1,0.0163
pmf_align:static_perturb,T1038-D1,0.0494
pmf_align:static_perturb,T1038-D2,0.0408
pmf_align:static_perturb,T1039-D1,0.0422
pmf_align:static_perturb,T1046s1-D1,0.0258
pmf_align:static_perturb,T1046s2-D1,0.0277
pmf_align:static_perturb,T1049-D1,0.0315
pmf_align:static_perturb,T1050-D1,0.0117
pmf_align:static_perturb,T1050-D2,0.0155
pmf_align:static_perturb,T1050-D3,0.0267
pmf_align:static_perturb,T1054-D1,0.0342
pmf_align:static_perturb,T1056-D1,0.0219
pmf_align:static_perturb,T1057-D1,0.0117
pmf_align:static_perturb,T1064-D1,0.0557
pmf_align:static_perturb,T1067-D1,0.0167
pmf_align:static_perturb,T1070-D2,0.0290
pmf_align:static_perturb,T1073-D1,0.0230
pmf_align:static_perturb,T1079-D1,0.0091
pmf_align:static_perturb,T1082-D1,0.0114
pmf_align:static_perturb,T1089-D1,0.0089
pmf_align:static_perturb,T1090-D1,0.0188
pmf_align:static_perturb,T1099-D1,0.0333
pmf_align:perturb,T1024-D1,0.0031
pmf_align:perturb,T1024-D2,0.0093
pmf_align:perturb,T1025-D1,0.0082
pmf_align:perturb,T1026-D1,0.0174
pmf_align:perturb,T1030-D1,0.0090
pmf_align:perturb,T1030-D2,0.0145
pmf_align:perturb,T1031-D1,0.0281
pmf_align:perturb,T1032-D1,0.0239
pmf_align:perturb,T1033-D1,0.0275
pmf_align:perturb,T1034-D1,0.0212
pmf_align:perturb,T1036s1-D1,0.0217
pmf_align:perturb,T1038-D1,0.0361
pmf_align:perturb,T1038-D2,0.0453
pmf_align:perturb,T1039-D1,0.0551
pmf_align:perturb,T1046s1-D1,0.0324
pmf_align:perturb,T1046s2-D1,0.0240
pmf_align:perturb,T1049-D1,0.0913
pmf_align:perturb,T1050-D1,0.0117
pmf_align:perturb,T1050-D2,0.0158
pmf_align:perturb,T1050-D3,0.0296
pmf_align:perturb,T1054-D1,0.0289
pmf_align:perturb,T1056-D1,0.0183
pmf_align:perturb,T1057-D1,0.0128
pmf_align:perturb,T1064-D1,0.0221
pmf_align:perturb,T1067-D1,0.0134
pmf_align:perturb,T1070-D2,0.0260
pmf_align:perturb,T1073-D1,0.0239
pmf_align:perturb,T1079-D1,0.0099
pmf_align:perturb,T1082-D1,0.0076
pmf_align:perturb,T1089-D1,0.0084
pmf_align:perturb,T1090-D1,0.0161
pmf_align:perturb,T1099-D1,0.0685
pmf_align:gate,T1024-D1,0.0051
pmf_align:gate,T1024-D2,0.0119
pmf_align:gate,T1025-D1,0.0082
pmf_align:gate,T1026-D1,0.0176
pmf_align:gate,T1030-D1,0.0078
pmf_align:gate,T1030-D2,0.0084
pmf_align:gate,T1031-D1,0.0338
pmf_align:gate,T1032-D1,0.0208
pmf_align:gate,T1033-D1,0.0188
pmf_align:gate,T1034-D1,0.0199
pmf_align:gate,T1036s1-D1,0.0138
pmf_align:gate,T1038-D1,0.0778
pmf_align:gate,T1038-D2,0.0506
pmf_align:gate,T1039-D1,0.0325
pmf_align:gate,T1046s1-D1,0.0267
pmf_align:gate,T1046s2-D1,0.0210
pmf_align:gate,T1049-D1,0.0327
pmf_align:gate,T1050-D1,0.0115
pmf_align:gate,T1050-D2,0.0151
pmf_align:gate,T1050-D3,0.0190
pmf_align:gate,T1054-D1,0.0244
pmf_align:gate,T1056-D1,0.0171
pmf_align:gate,T1057-D1,0.0105
pmf_align:gate,T1064-D1,0.0456
pmf_align:gate,T1067-D1,0.0099
pmf_align:gate,T1070-D2,0.0195
pmf_align:gate,T1073-D1,0.0224
pmf_align:gate,T1079-D1,0.0085
pmf_align:gate,T1082-D1,0.0121
pmf_align:gate,T1089-D1,0.0075
pmf_align:gate,T1090-D1,0.0162
pmf_align:gate,T1099-D1,0.0213
pmf_align:gate_perturb,T1024-D1,0.0077
pmf_align:gate_perturb,T1024-D2,0.0129
pmf_align:gate_perturb,T1025-D1,0.0083
pmf_align:gate_perturb,T1026-D1,0.0233
pmf_align:gate_perturb,T1030-D1,0.0087
pmf_align:gate_perturb,T1030-D2,0.0090
pmf_align:gate_perturb,T1031-D1,0.0296
pmf_align:gate_perturb,T1032-D1,0.0234
pmf_align:gate_perturb,T1033-D1,0.0154
pmf_align:gate_perturb,T1034-D1,0.0229
pmf_align:gate_perturb,T1036s1-D1,0.0152
pmf_align:gate_perturb,T1038-D1,0.0567
pmf_align:gate_perturb,T1038-D2,0.0568
pmf_align:gate_perturb,T1039-D1,0.0489
pmf_align:gate_perturb,T1046s1-D1,0.0153
pmf_align:gate_perturb,T1046s2-D1,0.0258
pmf_align:gate_perturb,T1049-D1,0.0297
pmf_align:gate_perturb,T1050-D1,0.0204
pmf_align:gate_perturb,T1050-D2,0.0211
pmf_align:gate_perturb,T1050-D3,0.0191
pmf_align:gate_perturb,T1054-D1,0.0296
pmf_align:gate_perturb,T1056-D1,0.0189
pmf_align:gate_perturb,T1057-D1,0.0116
pmf_align:gate_perturb,T1064-D1,0.0361
pmf_align:gate_perturb,T1067-D1,0.0137
pmf_align:gate_perturb,T1070-D2,0.0213
pmf_align:gate_perturb,T1073-D1,0.0236
pmf_align:gate_perturb,T1079-D1,0.0080
pmf_align:gate_perturb,T1082-D1,0.0127
pmf_align:gate_perturb,T1089-D1,0.0084
pmf_align:gate_perturb,T1090-D1,0.0121
pmf_align:gate_perturb,T1099-D1,0.0181
pmf_align:attnobias,T1024-D1,0.0041
pmf_align:attnobias,T1024-D2,0.0106
pmf_align:attnobias,T1025-D1,0.0070
pmf_align:attnobias,T1026-D1,0.0244
pmf_align:attnobias,T1030-D1,0.0053
pmf_align:attnobias,T1030-D2,0.0098
pmf_align:attnobias,T1031-D1,0.0310
pmf_align:attnobias,T1032-D1,0.0223
pmf_align:attnobias,T1033-D1,0.0207
pmf_align:attnobias,T1034-D1,0.0226
pmf_align:attnobias,T1036s1-D1,0.0114
pmf_align:attnobias,T1038-D1,0.0474
pmf_align:attnobias,T1038-D2,0.0391
pmf_align:attnobias,T1039-D1,0.0538
pmf_align:attnobias,T1046s1-D1,0.0176
pmf_align:attnobias,T1046s2-D1,0.0270
pmf_align:attnobias,T1049-D1,0.1026
pmf_align:attnobias,T1050-D1,0.0092
pmf_align:attnobias,T1050-D2,0.0141
